순취득",수출,최종수요계,총수요계,,
599,기타 전기통신서비스,452 ,149 ,917 ,872 ,"2,601 ",599 ,"1,139 ","29,081 ",31 ,8 ,5 ,"1,185 ","6,322 ","1,861 ",82 ,83 ,222 ,"1,421 ","1,896 ","1,002 ",805 ,"1,146 ","1,007 ",83 ,"1,036 ",950 ,325 ,666 ,195 ,"2,539 ","1,272 ",56 ,"2,945 ","3,614 ","7,485 ",634 ,"38,776 ",884 ,889 ,949 ,"8,721 ",648 ,"4,439 ",544 ,957 ,"4,733 ",805 ,"4,275 ","10,504 ",73 ,"1,345 ","2,420 ",377 ,627 ,"5,230 ","2,150 ",25 ,"20,195 ","1,052 ",752 ,997 ,"4,462 ","1,368 ","5,388 ","4,951 ","3,995 ","10,302 ","1,547 ",555 ,102 ,780 ,50 ,36 ,785 ,"4,313 ",173 ,"1,620 ","3,339 ",95 ,"1,864 ",869 ,"2,698 ",915 ,"1,061 ","1,267 ","2,258 ","3,058 ",959 ,"1,696 ",648 ,"1,038 ","1,204 ",619 ,705 ,92 ,"1,746 ",104 ,585 ,22 ,264 ,"1,845 ","2,383 ","11,313 ","3,740 ",170 ,"3,566 ",597 ,"4,762 ","6,934 ","5,185 ","1,043 ","1,855 ",850 ,221 ,848 ,339 ,40 ,"1,922,488 ","14,321 ","51,799 ","2,387 ","29,891 ","9,692 ","21,671 ","8,666 ","30,868 ","11,390 ","46,862 ","386,117 ","35,589 ","129,620 ","41,216 ","13,020 ","47,351 ","28,478 ","152,409 ",883 ,"41,419 ","52,698 ","1,102,109 ","22,576 ","36,972 ",0 ,"42,510 ","52,257 ","110,309 ","614,276 ","69,558 ","6,885 ","118,927 ","84,416 ","10,191 ","120,065 ","148,217 ",519 ,"2,687 ","216,146 ","11,266 ","13,180 ","44,861 ","8,640 ","78,783 ",445 ,"15,746 ","1,060 ","6,311,713 ","523,815 ",0 ,0 ,0 ,0 ,0 ,"2,291 ","526,106 ","6,837,819 ",,
600,방송서비스,"3,987 ","3,015 ","1,464 ",756 ,"2,925 ",688 ,397 ,"1,792 ",9 ,2 ,3 ,785 ,"1,589 ",229 ,482 ,266 ,258 ,511 ,"1,503 ",367 ,412 ,205 ,346 ,84 ,278 ,128 ,163 ,498 ,113 ,964 ,206 ,64 ,878 ,"1,381 ","1,146 ",160 ,"15,605 ",355 ,"1,501 ",652 ,"5,878 ",314 ,"1,637 ",311 ,472 ,"1,954 ",429 ,"1,244 ","3,729 ",40 ,428 ,562 ,71 ,150 ,647 ,588 ,191 ,"7,031 ",316 ,308 ,"1,210 ",928 ,415 ,"1,916 ","1,425 ","1,936 ","4,867 ","3,794 ",361 ,72 ,240 ,311 ,591 ,241 ,990 ,111 ,514 ,"1,145 ",29 ,792 ,469 ,751 ,173 ,512 ,524 ,341 ,549 ,275 ,333 ,239 ,479 ,937 ,436 ,718 ,109 ,835 ,73 ,46 ,40 ,100 ,947 ,"1,827 ","17,371 ","3,046 ","2,636 ","5,915 ",163 ,473 ,"1,795 ",217 ,331 ,478 ,313 ,228 ,304 ,206 ,16 ,"1,695,017 ",31 ,394 ,423 ,87 ,"1,728 ","1,107 ",531 ,891 ,"7,055 ","1,116 ","159,980 ","117,420 ","7,389 ","2,555 ","1,332,266 ","978,412 ","7,943 ","5,278 ",43 ,"1,993 ","5,428 ","3,856 ","1,595 ","2,772 ","10,994 ","10,683 ","28,214 ","5,941 ","112,831 ","3,070,806 ",844 ,"8,357 ","7,172 ","1,790 ","3,881 ","7,236 ","26,216 ","1,041 ","24,930 ","10,062 ","5,451 ","17,552 ","4,462 ","190,653 ","1,825 ","16,614 ",228 ,"8,041,653 ","2,719,516 ",0 ,0 ,0 ,0 ,0 ,"585,468 ","3,304,984 ","11,346,637 ",,
610,정보서비스,207 ,150 ,"1,051 ",243 ,"2,602 ","5,682 ",536 ,"9,553 ",79 ,0 ,0 ,"5,219 ","15,290 ",995 ,119 ,374 ,380 ,"3,825 ","11,634 ","3,444 ","2,869 ",323 ,706 ,337 ,"1,186 ",415 ,350 ,"2,439 ",196 ,"6,291 ","3,410 ",148 ,"3,395 ","3,353 ","40,968 ","6,021 ","133,712 ","1,467 ","2,616 ","2,221 ","20,540 ",409 ,"2,613 ","4,011 ","1,956 ","39,260 ","2,293 ","9,800 ","33,300 ",62 ,716 ,"3,288 ",304 ,315 ,"2,296 ","3,220 ",52 ,"29,327 ","1,837 ","1,745 ","3,290 ","5,788 ",935 ,"14,461 ","21,471 ","13,834 ","34,494 ","3,003 ",762 ,381 ,895 ,79 ,46 ,646 ,"7,227 ",135 ,"5,844 ","3,279 ",303 ,"8,765 ","1,156 ","6,396 ","1,212 ","10,692 ","5,393 ","8,139 ","2,219 ","2,858 ","4,784 ",396 ,487 ,"5,845 ","3,906 ",941 ,90 ,"3,027 ",124 ,"1,259 ",27 ,"1,492 ","5,677 ","3,558 ","18,379 ","7,854 ",681 ,"1,461 ",265 ,"7,277 ","10,120 ","3,751 ",872 ,"1,657 ","1,717 ",606 ,408 ,717 ,15 ,"569,513 ",90 ,"1,966 ","7,531 ",402 ,"36,354 ","45,365 ","11,728 ","36,642 ","4,860 ","114,929 ","199,474 ","6,493 ","182,936 ","173,947 ","3,283 ","18,659 ","214,030 ","542,647 ","2,871 ","65,701 ","249,181 ","461,919 ","32,601 ","86,242 ",0 ,"9,546 ","31,318 ","147,528 ","1,027,723 ","2,633,988 ","26,708 ","88,337 ","97,359 ","14,591 ","25,886 ","137,715 ","194,878 ","10,726 ","576,008 ","31,363 ","72,984 ","56,591 ","21,228 ","136,943 ","3,046 ","16,511 ","1,493 ","9,114,080 ","6,810,176 ",0 ,0 ,0 ,0 ,0 ,"1,647,260 ","8,457,436 ","17,571,516 ",,
621,소프트웨어 개발 공급,"1,277 ","2,427 ","1,336 ","3,604 ","2,112 ","1,033 ","1,388 ","1,284 ",22 ,54 ,17 ,"2,012 ","21,809 ","3,510 ","4,156 ",494 ,"1,790 ","3,501 ","13,198 ","16,717 ","1,940 ","1,243 ",311 ,599 ,"2,514 ",8 ,"10,147 ","1,449 ","3,747 ",129 ,"1,489 ",0 ,"2,844 ","2,786 ","12,111 ",657 ,"86,454 ",796 ,"2,878 ","5,008 ","5,537 ",115 ,"2,250 ","1,092 ",384 ,"4,765 ","2,012 ","1,864 ","55,110 ",7 ,415 ,"2,478 ",381 ,1 ,682 ,"2,531 ",289 ,"3,327 ","1,241 ",17 ,228 ,"10,246 ","2,286 ","10,392 ","10,973 ","12,160 ","7,238 ","222,619 ","271,140 ","1,485 ","12,763 ","118,690 ","268,497 ","29,751 ","58,813 ",371 ,36 ,"2,927 ","2,014 ","1,090 ","3,052 ","16,822 ","1,927 ",885 ,"4,591 ","1,921 ","5,202 ","1,991 ","3,057 ",336 ,"2,722 ","83,929 ","6,011 ","12,368 ",930 ,"43,981 ","2,527 ",9 ,386 ,"1,437 ",768 ,"79,434 ","81,170 ","23,464 ",517 ,149 ,"9,876 ",312 ,"2,179 ","87,639 ","5,399 ","8,340 ",103 ,"6,512 ","8,168 ","10,257 ",60 ,"431,869 ",9 ,"6,752 ","2,563 ","1,175 ","4,764 ","1,007 ","20,964 ","5,868 ",302 ,"2,181 ","7,379 ","8,455 ","126,862 ","28,000 ","14,477 ","22,116 ","3,200,044 ","32,601 ","3,009 ","3,444 ","165,686 ","241,795 ","224,646 ","103,727 ",0 ,"103,636 ","119,734 ","178,716 ","253,724 ","685,464 ","19,186 ","96,582 ","7,876 ",715 ,"1,239 ","1,970 ","381,983 ","5,806 ","211,912 ","32,103 ","61,344 ","5,413 ","200,789 ","5,025 ","4,214 ","4,554 ",211 ,"8,907,390 ","10,275,047 ",0 ,"27,884,933 ","664,861 ",0 ,0 ,"7,763,936 ","46,588,777 ","55,496,167 ",,
629,기타 IT서비스,705 ,495 ,525 ,247 ,"2,040 ","1,934 ","2,815 ","2,922 ","1,309 ",0 ,0 ,"3,037 ","1,924 ","2,161 ",0 ,297 ,525 ,"2,584 ","3,464 ","8,689 ","1,721 ",875 ,"2,706 ","1,338 ","4,868 ","1,962 ","3,918 ","30,396 ",541 ,"1,422 ","2,688 ",305 ,"12,824 ","14,009 ","20,218 ",465 ,"105,889 ","1,526 ","12,487 ","19,337 ","22,714 ",562 ,"9,002 ","9,369 ","7,297 ","23,813 ","21,808 ","27,891 ","63,936 ","1,556 ","2,194 ","3,745 ","3,513 ","4,181 ","8,045 ","12,776 ","5,865 ","134,007 ","23,322 ","77,285 ","16,331 ","6,630 ","3,789 ","43,799 ","18,553 ","14,544 ","25,905 ","73,378 ","47,885 ","16,789 ","8,371 ","9,750 ","20,367 ","8,357 ","24,020 ","2,666 ","5,085 ","21,195 ","3,753 ","14,756 ","11,424 ","30,376 ","8,360 ","3,587 ","6,503 ","37,519 ","33,067 ","5,248 ","14,079 ",817 ,"2,149 ","15,668 ","12,352 ","97,882 ","2,879 ","117,827 ","42,195 ",789 ,467 ,"4,330 ","5,582 ","5,356 ","111,856 ","38,387 ","1,449 ",12 ,"1,225 ","19,011 ","36,572 ","48,488 ","63,752 ","60,716 ","16,758 ","6,196 ","3,098 ","12,169 ",564 ,"546,835 ","7,893 ","114,302 ","35,702 ","15,852 ","34,535 ","25,481 ","27,404 ","79,690 ","23,772 ","186,159 ","46,394 ","4,819 ","934,467 ","280,664 ","139,963 ","916,137 ","429,988 ","2,863,838 ","29,276 ","44,579 ","727,710 ","1,653,560 ","1,509,550 ","835,407 ",0 ,"39,230 ","51,825 ","1,085,407 ","1,142,961 ","105,373 ","122,437 ","188,685 ","130,065 ","15,804 ","38,469 ","65,868 ","1,690,809 ","24,844 ","922,142 ","92,863 ","409,945 ","120,718 ","67,886 ","180,868 ","15,821 ","16,415 ","9,447 ","20,054,540 ","20,946 ",0 ,0 ,0 ,0 ,0 ,"1,686,789 ","1,707,735 ","21,762,275 ",,
630,신문 및 출판 서비스,0 ,0 ,513 ,40 ,"1,008 ",708 ,"2,365 ","8,290 ",9 ,16 ,14 ,"1,305 ","2,946 ","4,429 ",201 ,136 ,751 ,"1,055 ","1,660 ","1,768 ","1,433 ","1,136 ",568 ,368 ,"1,880 ","1,098 ","3,423 ","4,449 ","1,085 ","1,043 ",676 ,60 ,"2,245 ","2,777 ","2,706 ",55 ,"17,876 ","1,144 ","2,878 ","2,700 ","5,512 ",134 ,"1,243 ","1,188 ",701 ,"8,147 ","4,184 ","2,220 ","13,415 ",932 ,"1,732 ","3,464 ",711 ,525 ,"2,570 ","3,009 ",54 ,"10,978 ","1,730 ","3,900 ","2,651 ","2,792 ","1,599 ","9,589 ","7,266 ","7,203 ","10,160 ","10,168 ","7,833 ","2,410 ","2,622 ","5,337 ","6,509 ","3,068 ","9,440 ",801 ,894 ,"9,946 ","1,192 ","3,606 ","6,841 ","8,265 ",549 ,"2,570 ","1,259 ","3,299 ","6,513 ","3,911 ","2,708 ",828 ,"1,798 ","2,375 ","1,695 ","2,771 ",78 ,"4,782 ","5,909 ",404 ,684 ,636 ,"2,498 ","3,857 ","49,996 ","4,159 ",75 ,507 ,276 ,"1,531 ","3,914 ","55,110 ","9,752 ","8,143 ","10,797 ","3,228 ","2,164 ","4,971 ","1,624 ","1,245,158 ","2,853 ","21,768 ","4,550 ","13,624 ","26,677 ","3,944 ","45,541 ","46,846 ","2,589 ","15,807 ","66,222 ","18,418 ","25,142 ","23,037 ","18,434 ","46,641 ","20,525 ","27,441 ","131,146 ","11,580 ","85,104 ","41,457 ","115,271 ","63,149 ",0 ,"8,838 ","21,213 ","462,650 ","417,129 ","1,819,837 ","87,775 ","228,465 ","47,031 ","29,584 ","20,290 ","51,891 ","119,529 ","17,857 ","364,552 ","54,123 ","102,769 ","117,538 ","23,997 ","164,864 ","10,801 ","60,975 ",323 ,"6,823,681 ","1,857,343 ",0 ,0 ,0 ,"27,934 ",0 ,"556,965 ","2,442,242 ","9,265,923 ",,
640,"영상,오디오물 제작 및 배급",78 ,73 ,209 ,33 ,237 ,346 ,752 ,349 ,11 ,3 ,6 ,195 ,354 ,23 ,9 ,7 ,53 ,175 ,292 ,200 ,184 ,99 ,4 ,23 ,194 ,135 ,190 ,297 ,54 ,246 ,244 ,3 ,159 ,455 ,"23,762 ",25 ,933 ,19 ,92 ,196 ,391 ,28 ,660 ,107 ,92 ,412 ,272 ,469 ,"2,227 ",70 ,134 ,187 ,128 ,56 ,261 ,250 ,15 ,"1,872 ",561 ,263 ,463 ,292 ,162 ,"1,063 ",544 ,893 ,"1,561 ",45 ,247 ,147 ,145 ,309 ,239 ,132 ,509 ,111 ,149 ,447 ,157 ,255 ,182 ,339 ,38 ,331 ,186 ,286 ,491 ,263 ,190 ,76 ,241 ,516 ,500 ,150 ,10 ,658 ,213 ,40 ,373 ,405 ,243 ,200 ,995 ,295 ,4 ,85 ,52 ,324 ,249 ,508 ,910 ,770 ,470 ,156 ,205 ,172 ,24 ,"18,364 ",33 ,693 ,227 ,"1,753 ",510 ,544 ,419 ,606 ,86 ,239 ,"27,991 ","8,439 ","1,046 ",797 ,"1,328,113 ","410,777 ","118,235 ","1,397 ","12,180 ","1,527,532 ","1,974 ","1,609 ","3,075 ",524 ,0 ,"1,000 ","2,759 ","10,276 ","136,563 ","556,289 ",153 ,"4,554 ","61,946 ",483 ,437 ,"2,435 ","512,057 ","10,603 ","402,589 ","26,164 ","127,923 ","539,887 ","607,603 ","5,644 ","1,037 ","4,749 ","5,585 ","6,546,093 ","1,712,994 ",0 ,"2,735,910 ",0 ,0 ,0 ,"381,025 ","4,829,929 ","11,376,022 ",,
651,중앙은행 및 예금취급기관,"218,519 ","356,869 ","78,088 ","187,363 ","258,502 ","5,440 ","266,897 ","26,319 ","8,730 ","1,714 ","2,025 ","25,855 ","217,923 ","73,304 ","80,080 ","17,152 ","79,283 ","72,049 ","162,134 ","76,931 ","24,898 ","31,523 ","2,768 ","29,762 ","86,736 ","28,638 ","192,515 ","236,153 ","69,804 ","58,159 ","55,337 ","1,065 ","76,548 ","137,724 ","145,400 ",599 ,"91,699 ","10,089 ","167,488 ","68,735 ","151,324 ","11,525 ","223,304 ","20,748 ","23,530 ","66,028 ","71,137 ","58,319 ","188,651 ","319,913 ","378,224 ","87,561 ","25,395 ","32,030 ","143,349 ","78,550 ","20,244 ","282,650 ","63,012 ","141,185 ","130,389 ","107,104 ","34,388 ","371,316 ","114,487 ","274,061 ","312,080 ","344,930 ","142,134 ","38,149 ","37,323 ","46,666 ","148,387 ","22,232 ","230,621 ","46,613 ","49,890 ","145,970 ","117,417 ","61,475 ","42,906 ","149,027 ","62,554 ","109,190 ","123,613 ","120,343 ","248,324 ","130,744 ","139,932 ","76,893 ","155,114 ","290,656 ","158,332 ","506,210 ","13,966 ","568,505 ","344,116 ","32,599 ","58,005 ","24,517 ","127,110 ","109,874 ","625,411 ","305,393 ","120,597 ","30,688 ","8,038 ","21,618 ","208,099 ","9,156 ","464,308 ","462,963 ","102,467 ","142,740 ","95,019 ","136,134 ","48,069 ","5,788,887 ","24,416 ","230,642 ","105,142 ","130,516 ","64,481 ","71,175 ","210,348 ","161,975 ","12,779 ","42,336 ","995,773 ","1,188,425 ","38,549 ","5,934 ","19,890 ","18,328 ","91,667 ","73,653 ","366,423 ","81,328 ","1,753,337 ","792,747 ","83,581 ","442,669 ","13,363,193 ","2,450,980 ","1,329,781 ","69,351 ","1,752,650 ","53,633 ","93,108 ","139,840 ","173,020 ","74,407 ","55,752 ","89,885 ","682,659 ","6,708 ","290,349 ","951,581 ","88,077 ","58,594 ","410,125 ","276,401 ","201,235 ","1,535,984 ",0 ,"52,208,672 ","9,722,126 ",0 ,0 ,0 ,0 ,0 ,"1,822,921 ","11,545,047 ","63,753,719 ",,
659,기타 금융중개기관,"7,847 ","21,711 ","9,670 ","19,340 ","21,891 ","4,104 ","12,610 ","2,161 ","3,417 ",139 ,990 ,"7,719 ","41,003 ","14,332 ","12,425 ","2,321 ","27,934 ","14,561 ","29,995 ","16,540 ","10,732 ","9,244 ","5,495 ","14,367 ","18,463 ","8,462 ","22,451 ","20,846 ","14,903 ","12,000 ","15,533 ",352 ,"15,597 ","28,488 ","23,887 ",566 ,"86,359 ","14,556 ","122,009 ","50,778 ","71,686 ","8,119 ","57,541 ","12,292 ","16,122 ","33,046 ","29,781 ","18,078 ","103,048 ","11,816 ","9,136 ","14,542 ","7,819 ","11,741 ","26,586 ","19,123 ","7,612 ","115,045 ","29,527 ","59,199 ","46,601 ","28,989 ","15,463 ","96,643 ","15,932 ","35,314 ","41,558 ","229,287 ","138,871 ","37,215 ","6,591 ","23,676 ","176,978 ","17,370 ","44,690 ","6,352 ","14,656 ","62,997 ","35,422 ","18,192 ","25,191 ","45,028 ","6,487 ","11,501 ","13,097 ","12,496 ","39,869 ","13,552 ","28,671 ","30,948 ","38,501 ","70,812 ","28,136 ","111,439 ","3,696 ","254,080 ","109,452 ","6,735 ","13,618 ","2,231 ","19,327 ","22,556 ","36,905 ","338,770 ","105,961 ","21,607 ","3,061 ","48,474 ","24,744 ","37,143 ","262,445 ","225,723 ","51,430 ","173,269 ","40,220 ","64,651 ","25,489 ","921,947 ","58,466 ","83,433 ","150,389 ","107,230 ","47,324 ","22,214 ","31,584 ","43,853 ","1,215 ","8,516 ","142,185 ","107,942 ","147,240 ","6,147 ","12,554 ","24,278 ","123,261 ","38,264 ","24,610 ","39,714 ","1,541,295 ","1,253,786 ","2,378,787 ","904,806 ","4,375,003 ","1,691,397 ","131,503 ","169,539 ","803,296 ","28,021 ","44,123 ","70,893 ","81,961 ","24,799 ","13,213 ","174,629 ","978,759 ","26,212 ","606,544 ","457,850 ","241,423 ","51,846 ","94,439 ","106,945 ","35,285 ","20,688 ",0 ,"23,337,177 ","10,736,410 ",0 ,0 ,0 ,0 ,0 ,"388,958 ","11,125,368 ","34,462,545 ",,
660,보험서비스,"-6,475 ","-149,679 ","-14,790 ","-156,553 ","-155,968 ",-308 ,"-109,967 ","-23,697 ","4,231 ",139 ,477 ,"10,096 ","38,201 ","16,275 ","10,348 ",849 ,"27,308 ","15,835 ","29,797 ","7,372 ","7,191 ","4,884 ","1,045 ","15,143 ","19,955 ","15,733 ","29,990 ","35,686 ","12,054 ","12,923 ","23,182 ",357 ,"16,249 ","28,709 ","42,380 ",149 ,"25,590 ","12,239 ","123,313 ","49,690 ","77,060 ","18,085 ","39,434 ","9,517 ","12,064 ","25,278 ","25,211 ","18,166 ","127,339 ","11,135 ","11,665 ","14,598 ","9,102 ","6,173 ","25,470 ","21,492 ","2,486 ","42,821 ","29,754 ","36,427 ","44,733 ","24,397 ","13,079 ","127,095 ","15,041 ","43,507 ","50,299 ","183,861 ","139,204 ","37,673 ","3,031 ","19,667 ","170,459 ","16,603 ","55,800 ","3,828 ","14,543 ","62,287 ","33,742 ","17,801 ","23,617 ","43,030 ","8,263 ","14,012 ","16,262 ","15,556 ","42,629 ","17,264 ","15,264 ","39,956 ","50,867 ","70,851 ","35,773 ","61,405 ","4,039 ","190,643 ","84,387 ","15,551 ","9,217 ","1,936 ","30,869 ","62,996 ","109,055 ","76,894 ","9,680 ","8,809 ",73 ,"30,638 ","54,105 ","47,960 ","362,900 ","659,372 ","51,619 ","319,213 ","126,641 ","69,076 ","22,709 ","1,270,688 ","8,550 ","383,374 ","98,990 ","31,938 ","19,173 ","18,016 ","14,851 ","44,766 ","3,660 ","19,243 ","357,369 ","27,741 ","67,345 ",419 ,"10,895 ","23,406 ","116,695 ","19,727 ","20,571 ","23,301 ","173,483 ","93,665 ","581,684 ","83,828 ","356,668 ","421,159 ","50,099 ","70,194 ","648,456 ","31,564 ","165,216 ","92,526 ","82,024 ","90,173 ","71,273 ","99,139 ","432,744 ","11,632 ","339,906 ","770,764 ","116,320 ","38,080 ","46,380 ","53,610 ","61,926 ","38,012 ",0 ,"12,064,254 ","39,039,244 ",0 ,0 ,0 ,0 ,0 ,"831,994 ","39,871,238 ","51,935,492 ",,
670,금융 및 보험 보조서비스,"14,087 ","24,464 ","6,128 ","14,301 ","18,319 ","4,865 ","13,009 ","2,142 ",738 ,96 ,312 ,"6,709 ","52,416 ","17,454 ","18,802 ","3,946 ","20,569 ","17,596 ","39,193 ","19,475 ","9,338 ","11,222 ","6,760 ","5,652 ","12,829 ","4,587 ","25,495 ","46,529 ","11,503 ","8,051 ","8,620 ",245 ,"15,903 ","28,742 ","18,770 ",687 ,"105,878 ","12,029 ","84,868 ","35,175 ","71,230 ","5,709 ","53,763 ","10,136 ","11,886 ","31,634 ","32,995 ","26,250 ","91,579 ","10,506 ","11,128 ","16,103 ","5,230 ","6,616 ","27,451 ","16,113 ","6,418 ","89,805 ","20,685 ","45,293 ","39,824 ","31,148 ","10,841 ","67,023 ","18,279 ","43,077 ","49,844 ","223,736 ","96,204 ","25,883 ","21,585 ","29,520 ","109,063 ","14,479 ","50,714 ","9,650 ","16,040 ","49,913 ","37,532 ","19,779 ","27,420 ","47,763 ","9,093 ","15,859 ","17,967 ","17,461 ","38,350 ","19,012 ","21,821 ","14,396 ","25,254 ","49,103 ","24,715 ","149,824 ","3,974 ","183,350 ","61,596 ","5,092 ","9,284 ","3,450 ","23,350 ","19,565 ","105,014 ","126,029 ","50,055 ","11,161 ","6,948 ","16,455 ","21,829 ","20,045 ","173,971 ","168,107 ","35,581 ","71,269 ","34,101 ","46,742 ","17,451 ","630,388 ","14,553 ","89,127 ","54,407 ","32,647 ","25,945 ","10,624 ","27,737 ","24,181 ","4,375 ","15,344 ","218,789 ","26,575 ","61,500 ","9,723 ","19,486 ","29,257 ","108,886 ","35,762 ","20,656 ","23,291 ","1,870,368 ","876,846 ","17,358,998 ","2,118,606 ","499,323 ","341,554 ","800,425 ","156,015 ","335,058 ","27,136 ","45,507 ","66,700 ","56,770 ","32,884 ","35,800 ","75,414 ","256,999 ","9,382 ","231,472 ","275,307 ","90,482 ","25,615 ","52,934 ","43,432 ","44,824 ","27,485 ",0 ,"31,233,214 ","8,261,010 ","236,627 ",0 ,0 ,0 ,0 ,"2,522,874 ","11,020,511 ","42,253,725 ",,
680,주거서비스,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"130,000,246 ",0 ,0 ,0 ,0 ,0 ,"119,259 ","130,119,505 ","130,119,505 ",,
691,비주거용 건물 임대 및 부동산 공급,353 ,"1,267 ","3,803 ",835 ,"5,314 ","2,381 ","8,664 ","10,966 ",238 ,56 ,500 ,"3,600 ","26,123 ","6,188 ","3,154 ","2,067 ","35,563 ","31,713 ","84,736 ","15,912 ","7,611 ","19,873 ","1,113 ","2,330 ","24,295 ","8,093 ","32,403 ","160,970 ","21,546 ","13,431 ","17,278 ",369 ,"20,340 ","30,168 ","68,206 ","1,384 ","101,540 ","3,288 ","11,487 ","14,891 ","47,505 ","3,759 ","71,872 ","16,009 ","5,905 ","56,920 ","37,830 ","16,309 ","62,789 ","9,208 ","7,746 ","9,087 ","7,701 ","4,397 ","19,301 ","16,618 ","1,044 ","25,605 ","5,504 ","27,185 ","11,712 ","14,227 ","10,720 ","40,432 ","8,047 ","28,060 ","51,629 ","35,020 ","20,849 ","13,268 ","16,053 ","29,637 ","14,492 ","4,369 ","54,594 ","4,953 ","22,845 ","39,077 ","29,104 ","34,901 ","68,211 ","46,728 ","2,955 ","9,443 ","7,667 ","13,585 ","20,289 ","14,731 ","9,207 ","7,599 ","14,662 ","9,662 ","21,642 ","52,568 ","1,124 ","74,450 ","16,639 ","1,377 ","1,282 ","2,413 ","31,894 ","70,787 ","176,694 ","27,459 ",792 ,797 ,"2,271 ","23,551 ","53,588 ","152,346 ","132,121 ","38,749 ","65,200 ","8,289 ","22,963 ","47,362 ","5,290 ","16,297,401 ",597 ,"145,426 ","37,083 ","25,712 ","93,703 ","134,360 ","318,191 ","331,557 ","11,681 ","97,821 ","6,945,604 ","129,551 ","164,567 ","21,246 ","79,308 ","115,207 ","372,075 ","174,547 ","105,917 ","154,698 ","604,488 ","447,773 ","1,010,843 ","487,047 ",0 ,"828,860 ","379,394 ","110,955 ","4,111,110 ","77,250 ","361,290 ","385,392 ","177,357 ","78,068 ","112,958 ","934,622 ","260,573 ","87,341 ","2,663,214 ","3,307,986 ","368,303 ","157,311 ","230,659 ","602,831 ","145,775 ","503,815 ","2,529 ","47,190,715 ",0 ,0 ,"23,784,747 ","19,945 ",0 ,0 ,"116,900 ","23,921,592 ","71,112,307 ",,
692,부동산 관련 서비스,308 ,404 ,"1,252 ","1,266 ","7,200 ","1,622 ","3,036 ","1,061 ",19 ,66 ,0 ,"1,553 ",240 ,307 ,11 ,26 ,301 ,"1,285 ","12,281 ","12,515 ",546 ,"5,075 ",150 ,402 ,"3,790 ","7,681 ","9,381 ","2,477 ","1,109 ","3,112 ","3,891 ",11 ,"1,050 ","9,304 ","1,155 ",7 ,783 ,154 ,"6,021 ","5,698 ","7,052 ",865 ,"4,084 ","2,719 ","1,411 ","5,734 ","4,747 ","2,737 ","20,949 ",582 ,992 ,"2,198 ","1,519 ",589 ,"4,983 ","6,052 ",221 ,"141,277 ","24,574 ","41,638 ","15,011 ","3,970 ","2,038 ","40,375 ","16,646 ","26,588 ","21,162 ","67,387 ","32,363 ","3,270 ","3,826 ","2,176 ","3,772 ","1,238 ","2,530 ",511 ,"1,221 ","1,011 ",636 ,"6,999 ","4,826 ","35,376 ",242 ,"1,142 ","4,046 ","1,080 ","5,116 ","5,434 ","1,226 ",486 ,"1,297 ","1,458 ","2,637 ","35,148 ",284 ,"84,182 ","5,835 ",168 ,54 ,"1,019 ","7,764 ","23,548 ","296,250 ","38,239 ","28,543 ","5,217 ",9 ,"16,113 ","12,491 ","245,397 ","119,214 ","72,120 ","28,474 ","34,595 ","17,950 ","22,703 ",424 ,"2,352,346 ","1,101 ","98,320 ","8,473 ","3,436 ","14,893 ","3,001 ","26,528 ","73,659 ","3,488 ","12,204 ","791,589 ","20,241 ","32,068 ","64,153 ","46,839 ","268,648 ","81,787 ","145,153 ","2,635 ","42,236 ","137,248 ","449,570 ","1,240,055 ","650,441 ","1,399,194 ","4,585,612 ","62,654 ","911,352 ","943,668 ","1,709 ","46,787 ","171,132 ","278,035 ","12,910 ","5,740 ","249,580 ","177,453 ","10,947 ","318,497 ","27,658 ","20,779 ","62,885 ","153,144 ","175,692 ","41,711 ","56,079 ",8 ,"18,077,648 ","16,083,354 ",0 ,"27,380,413 ",0 ,0 ,0 ,"10,678 ","43,474,445 ","61,552,093 ",,
